,City,Country,Date,Latitude,Longitude,Cloudiness (%),Wind Speed (mph),Max Temp (F),Humidity (%)
38,bluff,NZ,2022-04-24 12:08:34,-46.6,168.3333,94,10.54,53.07799999999996,65
39,vavozh,RU,2022-04-24 12:08:35,56.7751,51.931,100,1.2,43.501999999999974,75
40,nikolskoye,RU,2022-04-24 12:08:37,59.7035,30.7861,100,4.06,39.14600000000005,82
41,rikitea,PF,2022-04-24 12:08:38,-23.1203,-134.9692,100,7.01,75.59600000000006,80
42,kapaa,US,2022-04-24 12:08:40,22.0752,-159.319,100,7.2,82.65199999999999,85
43,tomatlan,MX,2022-04-24 12:08:41,19.9333,-105.25,0,0.18,66.97400000000002,88
44,pevek,RU,2022-04-24 12:08:42,69.7008,170.3133,100,0.92,18.661999999999956,89
45,saskylakh,RU,2022-04-24 12:08:44,71.9167,114.0833,19,2.19,10.993999999999971,86
46,baykit,RU,2022-04-24 12:08:45,61.67,96.37,62,0.85,37.022000000000034,69
47,kenai,US,2022-04-24 12:08:46,60.5544,-151.2583,75,3.6,52.30399999999995,51
48,pingchen,,,,,,,,
49,yar-sale,RU,2022-04-24 12:08:49,66.8333,70.8333,86,1.18,5.125999999999987,88
50,grand river south east,,,,,,,,
51,chuy,UY,2022-04-24 12:08:51,-33.6971,-53.4616,0,2.72,52.7,72
52,luanda,AO,2022-04-24 12:08:52,-8.8368,13.2343,100,2.54,75.434,90
53,stolbishche,RU,2022-04-24 12:08:54,55.6468,49.216,0,1,43.51999999999996,70
54,santa eulalia del rio,,,,,,,,
55,tuktoyaktuk,CA,2022-04-24 12:08:56,69.4541,-133.0374,18,2.79,21.883999999999993,96
56,palabuhanratu,,,,,,,,
57,porbandar,IN,2022-04-24 12:08:59,21.6422,69.6093,0,6.69,91.65199999999999,46
58,methoni,GR,2022-04-24 12:09:00,36.8197,21.7049,1,5.48,57.48800000000004,88
59,tocopilla,CL,2022-04-24 12:09:02,-22.092,-70.1979,41,0.31,64.4,72
60,iskateley,RU,2022-04-24 12:09:03,67.6803,53.1512,100,2.99,15.008000000000003,91
61,anloga,GH,2022-04-24 12:09:04,5.7947,0.8973,95,5.2,81.55399999999995,87
62,butaritari,KI,2022-04-24 12:09:06,3.0707,172.7902,69,5.63,81.46400000000003,79
63,constitucion,CL,2022-04-24 12:09:07,-35.3333,-72.4167,98,3.04,57.21799999999999,91
64,moron,AR,2022-04-24 12:09:08,-34.6534,-58.6198,58,5.15,62.29399999999997,77
65,pallisa,UG,2022-04-24 12:09:10,1.145,33.7094,100,2.39,65.44399999999997,94
66,port blair,IN,2022-04-24 12:09:11,11.6667,92.75,20,4.12,88.10600000000002,70
67,belushya guba,,,,,,,,
68,galle,LK,2022-04-24 12:05:34,6.0367,80.217,29,2.95,85.00999999999999,70
69,dasoguz,TM,2022-04-24 12:09:15,41.8363,59.9666,20,3.36,67.73000000000005,38
70,puerto del rosario,ES,2022-04-24 12:09:16,28.5004,-13.8627,75,5.14,62.61799999999998,72
71,longyearbyen,SJ,2022-04-24 12:09:17,78.2186,15.6401,40,7.2,17.708000000000006,67
72,aras,ES,2022-04-24 12:09:19,42.5617,-2.356,75,5.14,46.022000000000034,81
73,samarai,PG,2022-04-24 12:09:20,-10.6167,150.6667,15,5.92,85.35199999999998,68
74,kulhudhuffushi,MV,2022-04-24 12:09:21,6.6221,73.07,100,2.16,84.25399999999996,70
75,pacific grove,US,2022-04-24 12:09:23,36.6177,-121.9166,0,2.06,59.50399999999995,81
76,faya,SA,2022-04-24 12:09:24,18.3851,42.4509,15,2.02,63.391999999999996,38
77,paita,PE,2022-04-24 12:09:26,-5.0892,-81.1144,33,4.7,68.63000000000005,84
78,bethel,US,2022-04-24 12:09:27,41.3712,-73.414,100,2.06,53.95999999999998,71
79,busselton,AU,2022-04-24 12:09:28,-33.65,115.3333,30,3.19,73.90399999999995,41
80,pontes e lacerda,BR,2022-04-24 12:09:30,-15.2261,-59.3353,84,0.83,72.68000000000004,87
81,airai,TL,2022-04-24 12:09:31,-8.9266,125.4092,19,1.63,76.53200000000001,42
82,sambava,MG,2022-04-24 12:09:32,-14.2667,50.1667,99,3.36,75.95600000000003,90
83,coquimbo,CL,2022-04-24 12:09:34,-29.9533,-71.3436,100,0.51,57.2,94
84,new norfolk,AU,2022-04-24 12:09:35,-42.7826,147.0587,21,1.07,67.15399999999995,51
85,vaini,TO,2022-04-24 12:09:36,-21.2,-175.2,75,2.06,82.83200000000002,65
86,yulara,AU,2022-04-24 12:09:38,-25.2406,130.9889,2,5.14,79.75399999999996,34
87,cidreira,BR,2022-04-24 12:09:39,-30.1811,-50.2056,0,3.08,58.17200000000004,74
88,albany,US,2022-04-24 12:03:05,42.6001,-73.9662,100,0.92,48.83000000000004,56
89,mys shmidta,,,,,,,,
90,qaanaaq,GL,2022-04-24 12:09:43,77.484,-69.3632,29,3.28,-5.044000000000025,76
91,omboue,GA,2022-04-24 12:09:44,-1.5746,9.2618,100,1.8,76.94600000000005,91
92,port alfred,ZA,2022-04-24 12:09:45,-33.5906,26.891,17,1.79,58.44199999999999,96
93,puerto ayora,EC,2022-04-24 12:09:47,-0.7393,-90.3518,55,2.52,71.97799999999997,92
94,hasaki,JP,2022-04-24 12:09:48,35.7333,140.8333,100,7.59,65.066,91
95,bushenyi,UG,2022-04-24 12:09:49,-0.5853,30.2114,100,0.93,60.908,95
96,diamantino,BR,2022-04-24 12:09:51,-14.4086,-56.4461,96,2.31,72.40999999999998,90
97,samusu,,,,,,,,
98,jamestown,US,2022-04-24 12:09:53,42.097,-79.2353,0,4.12,64.30999999999997,71
99,severo-kurilsk,RU,2022-04-24 12:08:58,50.6789,156.125,100,4.42,35.61799999999998,100
100,jizan,SA,2022-04-24 12:09:56,17.3333,42.6667,7,2.19,88.10600000000002,48
101,manga,BF,2022-04-24 12:09:57,11.6636,-1.0731,56,1.35,85.17200000000004,15
102,arraial do cabo,BR,2022-04-24 12:09:59,-22.9661,-42.0278,2,4.6,77.48599999999996,84
103,kloulklubed,PW,2022-04-24 12:10:00,7.0419,134.2556,100,5.84,79.57400000000001,83
104,oussouye,SN,2022-04-24 12:10:02,12.485,-16.5469,25,0.99,73.72400000000002,71
105,hithadhoo,MV,2022-04-24 12:10:03,-0.6,73.0833,100,1.69,84.84800000000003,72
106,saint george,US,2022-04-24 12:10:05,37.1041,-113.5841,20,6.17,61.898000000000025,21
107,iqaluit,CA,2022-04-24 12:10:06,63.7506,-68.5145,25,1.24,-1.6780000000000186,91
108,ribeira grande,PT,2022-04-24 12:10:07,38.5167,-28.7,36,8.74,58.658,68
109,hermanus,ZA,2022-04-24 12:10:09,-34.4187,19.2345,14,1.47,56.08399999999999,69
110,binzhou,CN,2022-04-24 12:10:10,37.3667,118.0167,90,4.09,87.476,30
111,soyo,AO,2022-04-24 12:10:11,-6.1349,12.3689,100,1.86,76.71199999999996,88
112,lompoc,US,2022-04-24 12:10:13,34.6391,-120.4579,0,8.49,58.208000000000006,79
113,swidnik,PL,2022-04-24 12:10:14,51.219,22.6962,0,2.57,41.161999999999956,93
114,rochefort,FR,2022-04-24 12:10:15,45.9167,-1,98,5.39,55.72400000000002,90
115,mahebourg,MU,2022-04-24 12:10:17,-20.4081,57.7,40,6.17,78.53000000000004,69
116,vaitupu,,,,,,,,
117,devonport,AU,2022-04-24 12:10:20,-41.1667,146.35,8,1.88,64.36400000000003,59
118,san juan,AR,2022-04-24 12:07:45,-31.5375,-68.5364,69,0.89,64.90399999999995,45
119,hilo,US,2022-04-24 12:06:09,19.7297,-155.09,100,1.54,77.558,81
120,hobart,AU,2022-04-24 12:10:24,-42.8794,147.3294,20,3.6,67.49600000000005,54
121,leningradskiy,RU,2022-04-24 12:10:25,69.3833,178.4167,100,1.75,26.491999999999997,88
122,belmonte,BR,2022-04-24 12:10:27,-15.8631,-38.8828,13,2.09,77.66600000000001,88
123,chokurdakh,RU,2022-04-24 12:10:28,70.6333,147.9167,73,1.13,5.882000000000016,88
124,piranshahr,IR,2022-04-24 12:10:29,36.701,45.1413,100,0.76,61.10600000000003,29
125,nome,US,2022-04-24 12:10:31,64.5011,-165.4064,100,0,39.541999999999994,70
126,aklavik,CA,2022-04-24 12:10:32,68.2191,-135.0107,92,3.1,31.351999999999975,94
127,warqla,,,,,,,,
128,tuni,IN,2022-04-24 12:10:34,17.35,82.55,57,4.36,94.15399999999995,47
129,sangar,RU,2022-04-24 12:10:36,63.9242,127.4739,99,2.03,27.859999999999978,85
130,zhoucheng,CN,2022-04-24 12:10:37,35.9122,116.3117,100,6.27,83.11999999999996,42
131,tambacounda,SN,2022-04-24 12:10:38,13.7539,-13.7586,73,4.79,89.618,17
132,bredasdorp,ZA,2022-04-24 12:10:40,-34.5322,20.0403,49,2.3,52.75399999999995,73
133,bogorodskoye,RU,2022-04-24 12:10:41,56.55,37.8833,100,2.46,45.64399999999997,86
134,norman wells,CA,2022-04-24 12:10:42,65.282,-126.8329,40,2.98,34.285999999999966,94
135,union,US,2022-04-24 12:06:14,40.6334,-74.2663,100,2.57,56.641999999999996,67
136,ariquemes,BR,2022-04-24 12:10:45,-9.9133,-63.0408,83,0.39,72.91400000000004,98
137,aripuana,BR,2022-04-24 12:10:46,-9.1667,-60.6333,43,0.94,72.40999999999998,98
138,san patricio,US,2022-04-24 12:10:47,28.017,-97.5169,96,7.3,76.1,76
139,nedjo,ET,2022-04-24 12:10:49,9.5046,35.5019,73,0.96,62.20399999999995,81
140,nantucket,US,2022-04-24 12:10:50,41.2835,-70.0995,75,4.63,52.12400000000001,79
141,husavik,IS,2022-04-24 12:10:51,66.0449,-17.3389,72,1.5,42.61999999999996,78
142,prince rupert,CA,2022-04-24 12:08:21,54.3161,-130.3201,100,3.6,44.95999999999998,81
143,koslan,RU,2022-04-24 12:10:54,63.4564,48.8989,100,1.23,34.25,99
144,sao felix do xingu,BR,2022-04-24 12:10:55,-6.6447,-51.995,100,0.5,71.54600000000005,99
145,honningsvag,NO,2022-04-24 12:10:56,70.9821,25.9704,100,8.23,39.21799999999998,87
146,kedrovyy,RU,2022-04-24 12:10:58,56.1667,91.8167,77,3.49,27.283999999999992,52
147,mayumba,GA,2022-04-24 12:10:59,-3.432,10.6554,99,0.61,77.70199999999997,87
148,souillac,MU,2022-04-24 12:11:00,-20.5167,57.5167,40,6.17,77.64800000000002,69
149,pishin,PK,2022-04-24 12:07:53,30.5803,66.9961,47,2.65,75.61400000000003,16
150,kuusankoski,FI,2022-04-24 12:11:03,60.907,26.6244,0,4.63,33.69199999999999,82
151,nanortalik,GL,2022-04-24 12:11:04,60.1432,-45.2371,100,2.96,35.11400000000003,99
152,dhidhdhoo,MV,2022-04-24 12:11:06,6.8833,73.1,90,2.81,84.25399999999996,71
153,upernavik,GL,2022-04-24 12:11:07,72.7868,-56.1549,58,2.93,-2.9559999999999818,98
154,lolua,,,,,,,,
155,fortuna,US,2022-04-24 12:11:09,40.5982,-124.1573,100,3.6,51.92599999999999,93
156,russkiy,RU,2022-04-24 12:11:11,43.0147,131.8642,58,1.88,69.92599999999999,84
157,porto novo,BJ,2022-04-24 12:11:12,6.4965,2.6036,100,2.42,79.88000000000005,87
158,tawang,IN,2022-04-24 12:11:13,27.5833,91.8667,61,2.93,58.44199999999999,63
159,armacao dos buzios,,,,,,,,
160,saldanha,ZA,2022-04-24 12:11:16,-33.0117,17.9442,1,3.8,56.714000000000034,74
161,andra,RU,2022-04-24 12:11:17,62.5147,65.8878,98,0.96,30.91999999999996,95
162,ilulissat,GL,2022-04-24 12:11:19,69.2167,-51.1,75,1.54,26.888000000000044,100
163,olafsvik,IS,2022-04-24 12:11:20,64.8945,-23.7142,99,2.9,45.10399999999995,83
164,carnarvon,AU,2022-04-24 12:11:21,-24.8667,113.6333,0,3.6,84.542,58
165,attawapiskat,,,,,,,,
166,cockburn town,TC,2022-04-24 12:11:24,21.4612,-71.1419,100,8.69,77.558,74
167,batalha,BR,2022-04-24 12:11:25,-9.6778,-37.1247,38,1.57,72.75199999999998,96
168,mahibadhoo,MV,2022-04-24 12:11:26,3.7833,72.9667,98,1.37,84.68599999999998,70
169,khani,GE,2022-04-24 12:11:28,41.9563,42.9566,0,2.61,58.83800000000005,62
170,talnakh,RU,2022-04-24 12:11:29,69.4865,88.3972,56,1.83,2.4800000000000395,92
171,salinopolis,BR,2022-04-24 12:11:30,-0.6136,-47.3561,100,2.21,74.67799999999997,92
172,ladario,BR,2022-04-24 12:09:09,-19.0047,-57.6017,14,1.09,75.93800000000005,74
173,beringovskiy,RU,2022-04-24 12:11:33,63.05,179.3167,94,0.36,29.588000000000044,76
174,turbat,PK,2022-04-24 12:11:34,26.0023,63.044,1,1.78,85.19000000000003,45
175,kiama,AU,2022-04-24 12:11:36,-34.6833,150.8667,25,0.45,71.65399999999995,73
176,pyu,MM,2022-04-24 12:11:37,18.4833,96.4333,19,3.68,98.34800000000003,36
177,gravdal,NO,2022-04-24 12:11:38,68.1214,13.5031,98,3.33,41.35999999999998,83
178,oktyabrskoye,RU,2022-04-24 12:11:40,43.0645,44.7417,4,2,43.214000000000034,93
179,glenwood springs,US,2022-04-24 12:10:45,39.5505,-107.3248,100,0.45,40.280000000000044,91
180,la paz,BO,2022-04-24 12:11:42,-16.5,-68.15,20,2.57,37.65199999999997,93
181,opelousas,US,2022-04-24 12:11:43,30.5335,-92.0815,100,6.69,73.56199999999995,94
182,lufilufi,WS,2022-04-24 12:11:45,-13.8745,-171.5986,22,2.72,87.06199999999995,70
183,svetlogorsk,BY,2022-04-24 12:11:46,52.6333,29.7333,29,2.4,40.567999999999984,94
184,amderma,,,,,,,,
185,road town,VG,2022-04-24 12:07:01,18.4167,-64.6167,97,7.55,75.55999999999997,68
186,bilibino,RU,2022-04-24 12:11:50,68.0546,166.4372,97,0.83,21.614000000000033,75
187,puerto escondido,MX,2022-04-24 12:11:51,15.85,-97.0667,40,1.54,83.49800000000002,69
188,longavi,CL,2022-04-24 12:11:52,-35.9667,-71.6833,97,2.84,56.53399999999999,90
189,opuwo,NA,2022-04-24 12:11:54,-18.0607,13.84,4,1.3,61.772000000000034,59
190,saint-philippe,RE,2022-04-24 12:11:55,-21.3585,55.7679,79,6.75,73.25600000000003,77
191,welkom,ZA,2022-04-24 12:11:56,-27.9864,26.7066,7,2.69,51.61999999999996,74
192,cheremushskiy,RU,2022-04-24 12:11:58,61.2731,47.2636,100,2.4,36.788000000000046,85
193,cassilandia,BR,2022-04-24 12:11:59,-19.1133,-51.7342,23,0.76,70.55600000000004,78
194,atuona,PF,2022-04-24 12:12:00,-9.8,-139.0333,49,7.68,79.66400000000004,78
195,pitimbu,BR,2022-04-24 12:12:02,-7.4706,-34.8086,100,3.48,76.06400000000004,84
196,san quintin,MX,2022-04-24 12:12:03,30.4833,-115.95,0,3.62,59.12599999999999,80
197,nautla,MX,2022-04-24 12:12:04,20.2167,-96.7833,0,7.26,77.30600000000004,84
198,reitz,ZA,2022-04-24 12:12:06,-27.8014,28.4273,11,1.51,51.530000000000044,87
199,rio grande,BR,2022-04-24 12:10:53,-32.035,-52.0986,0,3.19,57.50600000000003,66
200,guanica,PR,2022-04-24 12:12:08,17.9716,-66.908,96,2.28,74.24600000000005,87
201,paamiut,GL,2022-04-24 12:12:10,61.994,-49.6678,100,1.76,31.801999999999975,92
202,barentsburg,,,,,,,,
203,mayskiy,RU,2022-04-24 12:12:12,47.6931,40.1025,87,5.53,51.475999999999985,74
204,panjwin,,,,,,,,
205,kysyl-syr,RU,2022-04-24 12:12:15,63.8986,122.7617,97,0.64,28.85,78
206,camacha,PT,2022-04-24 12:12:16,33.0833,-16.3333,75,1.54,55.09399999999997,77
207,edea,CM,2022-04-24 12:12:17,3.8,10.1333,100,1.02,70.592,98
208,santarem,BR,2022-04-24 12:12:19,-2.4431,-54.7083,75,2.06,79.19600000000005,100
209,lensk,RU,2022-04-24 12:12:20,60.7253,114.9278,100,2.44,35.74399999999997,67
210,khonuu,,,,,,,,
211,hofn,IS,2022-04-24 12:12:22,64.2539,-15.2082,95,1.9,44.492,78
212,camrose,CA,2022-04-24 12:12:24,53.0168,-112.8353,67,3.15,43.19600000000005,64
213,marondera,ZW,2022-04-24 12:12:25,-18.1853,31.5519,2,0.9,54.067999999999984,96
214,caravelas,BR,2022-04-24 12:12:26,-17.7125,-39.2481,15,2.49,76.60399999999996,95
215,xiaoshan,CN,2022-04-24 12:12:28,30.1675,120.2588,75,3,79.10600000000002,73
216,lata,PT,2022-04-24 12:12:29,40.1629,-8.3327,11,1.06,46.346000000000046,95
217,dukat,RU,2022-04-24 12:12:30,62.55,155.55,100,2.7,19.346000000000046,82
218,huarmey,PE,2022-04-24 12:12:32,-10.0681,-78.1522,76,3.75,68.16199999999995,87
219,port shepstone,ZA,2022-04-24 12:12:33,-30.7414,30.455,7,2.16,66.70399999999995,82
220,sri aman,MY,2022-04-24 12:12:34,1.2376,111.4621,85,1.48,86.25199999999998,74
221,kruisfontein,ZA,2022-04-24 12:12:36,-34.0033,24.7314,36,4.4,58.153999999999954,92
222,chicama,PE,2022-04-24 12:12:37,-7.8447,-79.1469,96,2.32,59.80999999999998,84
223,buariki,,,,,,,,
224,bako,ET,2022-04-24 12:12:40,5.7833,36.5667,100,1.67,62.492,89
225,olinda,BR,2022-04-24 12:12:41,-8.0089,-34.8553,75,4.12,77.0,94
226,lorengau,PG,2022-04-24 12:12:42,-2.0226,147.2712,95,3.79,83.35399999999996,77
227,esperance,AU,2022-04-24 12:12:44,-33.8667,121.9,8,2.59,69.08000000000004,54
228,paradwip,,,,,,,,
229,bathsheba,BB,2022-04-24 12:12:46,13.2167,-59.5167,10,6.32,77.43200000000002,75
230,mehamn,NO,2022-04-24 12:12:47,71.0357,27.8492,100,8.31,38.858000000000004,96
231,tura,IN,2022-04-24 12:12:49,25.5198,90.2201,12,3.55,83.91199999999995,65
232,nhulunbuy,AU,2022-04-24 12:12:50,-12.2333,136.7667,75,3.6,90.48200000000003,62
233,tartagal,AR,2022-04-24 12:12:51,-22.5164,-63.8013,95,0.5,65.44399999999997,91
234,santa isabel do rio negro,BR,2022-04-24 12:12:53,-0.4139,-65.0192,51,0.71,74.67799999999997,92
235,foz,ES,2022-04-24 12:12:54,43.5692,-7.2544,93,3.25,51.70999999999998,78
236,nizwa,OM,2022-04-24 12:12:55,22.9333,57.5333,42,1.23,82.00399999999996,38
237,arona,ES,2022-04-24 12:12:57,28.0996,-16.681,20,3.6,56.08399999999999,75
238,maniitsoq,GL,2022-04-24 12:12:58,65.4167,-52.9,100,6.66,31.49600000000005,99
239,kayankulam,IN,2022-04-24 12:12:59,9.1833,76.5,72,0.92,84.50600000000003,72
240,mount hagen,PG,2022-04-24 12:13:01,-5.8581,144.2274,90,1.21,68.792,87
241,bambous virieux,MU,2022-04-24 12:13:02,-20.3428,57.7575,40,6.17,78.49399999999997,69
242,lavrentiya,RU,2022-04-24 12:13:03,65.5833,-171,100,0.79,30.52400000000001,81
243,huazolotitlan,,,,,,,,
244,vila velha,BR,2022-04-24 12:13:06,-20.3297,-40.2925,0,1.54,79.01600000000002,88
245,kutum,SD,2022-04-24 12:13:07,14.2,24.6667,5,2.9,72.85999999999999,12
246,sinjar,IQ,2022-04-24 12:13:09,36.3209,41.8754,100,1.39,71.95999999999998,27
247,partenit,UA,2022-04-24 12:13:10,44.578,34.3446,30,2.19,54.319999999999965,63
248,barentu,ER,2022-04-24 12:13:11,15.1139,37.5928,61,2.4,81.44600000000005,36
249,zhanakorgan,KZ,2022-04-24 12:13:13,43.9098,67.2495,27,3.43,67.51400000000004,58
250,illoqqortoormiut,,,,,,,,
251,bargi,IN,2022-04-24 12:13:15,22.9833,79.8667,6,3.42,90.64399999999998,14
252,port hedland,AU,2022-04-24 12:13:17,-20.3167,118.5667,0,6.69,93.52400000000002,17
253,kampot,KH,2022-04-24 12:13:18,10.6167,104.1833,91,2.59,89.924,66
254,nizhneyansk,,,,,,,,
255,usinsk,RU,2022-04-24 12:13:21,65.9939,57.5281,100,0.13,22.04600000000005,75
256,champasak,LA,2022-04-24 12:13:22,14.75,106,31,1.83,93.77599999999998,48
257,provideniya,RU,2022-04-24 12:13:23,64.3833,-173.3,96,0.94,33.601999999999975,67
258,hualmay,PE,2022-04-24 12:13:25,-11.0964,-77.6139,14,2.89,67.28000000000004,88
259,umm kaddadah,SD,2022-04-24 12:13:26,13.6017,26.6876,6,4.77,76.62200000000004,10
260,quatre cocos,MU,2022-04-24 12:13:27,-20.2078,57.7625,82,6.32,78.368,65
261,kavieng,PG,2022-04-24 12:13:29,-2.5744,150.7967,55,4.88,85.19000000000003,65
262,plettenberg bay,ZA,2022-04-24 12:13:30,-34.0527,23.3716,63,3.89,59.07200000000004,85
263,shitanjing,CN,2022-04-24 12:13:31,39.2342,106.3439,100,6.46,70.19600000000005,14
264,bandarbeyla,SO,2022-04-24 12:13:33,9.4942,50.8122,48,2.86,83.58800000000005,66
265,kostolac,RS,2022-04-24 12:13:34,44.7149,21.1711,11,3.22,55.72400000000002,84
266,port augusta,AU,2022-04-24 12:13:35,-32.5,137.7667,100,2.78,75.95600000000003,47
267,tsihombe,,,,,,,,
268,mar del plata,AR,2022-04-24 12:09:10,-38.0023,-57.5575,75,5.14,61.141999999999996,80
269,port saint lucie,US,2022-04-24 12:13:39,27.2939,-80.3503,75,5.66,75.45199999999997,68
270,cherskiy,RU,2022-04-24 12:13:40,68.75,161.3,100,1.62,23.108000000000004,78
271,barbar,,,,,,,,
272,sakakah,SA,2022-04-24 12:13:43,29.9697,40.2064,2,5.2,69.18800000000005,65
273,kushima,JP,2022-04-24 12:13:44,31.4583,131.2333,100,0.58,68.9,91
274,port hardy,CA,2022-04-24 12:08:46,50.6996,-127.4199,100,6.17,45.57200000000004,88
275,barrow,US,2022-04-24 12:13:47,71.2906,-156.7887,100,3.6,16.088000000000044,86
276,touros,BR,2022-04-24 12:13:48,-5.1989,-35.4608,100,3.45,75.84800000000003,92
277,taganak,PH,2022-04-24 12:13:49,6.0833,118.3,38,1.7,83.174,74
278,namibe,AO,2022-04-24 12:13:51,-15.1961,12.1522,27,2.93,68.9,84
279,jining,CN,2022-04-24 12:13:52,35.405,116.5814,99,4.98,82.47200000000004,41
280,huayucachi,PE,2022-04-24 12:13:53,-12.1333,-75.2333,83,0.68,48.182000000000016,89
281,coahuayana,MX,2022-04-24 12:13:55,18.7333,-103.6833,0,0.89,70.68200000000002,85
282,sars,RU,2022-04-24 12:13:56,56.5502,57.1366,68,3.4,44.096000000000046,79
283,clyde river,CA,2022-04-24 12:13:57,70.4692,-68.5914,46,2.07,-8.337999999999994,96
284,birin,NP,2022-04-24 12:13:59,26.8865,88.0718,0,2.39,72.78800000000004,52
285,torbay,CA,2022-04-24 12:14:00,47.6666,-52.7314,100,4.92,34.03399999999999,93
286,bubaque,GW,2022-04-24 12:14:01,11.2833,-15.8333,28,4.39,76.65800000000002,76
287,jacqueville,CI,2022-04-24 12:14:03,5.2052,-4.4146,74,2.91,80.94200000000001,88
288,rujewa,TZ,2022-04-24 12:14:04,-8.7,34.3833,96,1.49,63.75199999999998,92
289,vila franca do campo,PT,2022-04-24 12:14:05,37.7167,-25.4333,18,5.93,57.88399999999999,76
290,calama,CL,2022-04-24 12:14:07,-22.4667,-68.9333,0,9.26,39.95600000000003,48
291,malanje,AO,2022-04-24 12:14:08,-9.5402,16.341,99,0.22,61.15999999999998,97
292,codrington,AU,2022-04-24 12:14:09,-38.2667,141.9667,3,5.5,65.28200000000001,54
293,rawson,AR,2022-04-24 12:10:50,-43.3002,-65.1023,1,7.76,55.65199999999997,43
294,demba,CD,2022-04-24 12:14:14,-5.51,22.2667,100,0.89,68.84600000000006,99
295,ahipara,NZ,2022-04-24 12:14:15,-35.1667,173.1667,94,6.38,64.85,69
296,hami,CN,2022-04-24 12:14:17,42.8,93.45,5,3.12,76.29800000000003,15
297,nioro,GM,2022-04-24 12:14:18,13.35,-15.75,0,1.55,80.79800000000003,30
298,bengkulu,ID,2022-04-24 12:14:19,-3.8004,102.2655,100,1.16,79.68200000000002,79
